,Unnamed: 0,date,pollutant,concentration
0,0,2017-01-01,CO,0.561
1,1,2017-02-01,CO,0.53
2,2,2017-03-01,CO,0.589
3,3,2017-04-01,CO,0.662
4,4,2017-05-01,CO,
5,5,2017-06-01,CO,
6,6,2017-07-01,CO,0.716
7,7,2017-08-01,CO,0.661
8,8,2017-09-01,CO,0.682
9,9,2017-10-01,CO,0.68
10,10,2017-11-01,CO,0.699
11,11,2017-12-01,CO,0.679
12,12,2018-01-01,CO,0.671
13,13,2018-02-01,CO,0.677
14,14,2018-03-01,CO,0.654
15,15,2018-04-01,CO,0.682
16,16,2018-05-01,CO,0.671
17,17,2018-06-01,CO,0.648
18,18,2018-07-01,CO,0.653
19,19,2018-08-01,CO,0.655
20,20,2018-09-01,CO,0.615
21,21,2018-10-01,CO,0.632
22,22,2018-11-01,CO,0.636
23,23,2018-12-01,CO,0.626
24,24,2019-01-01,CO,0.636
25,25,2019-02-01,CO,0.588
26,26,2019-03-01,CO,0.669
27,27,2019-04-01,CO,0.644
28,28,2019-05-01,CO,0.627
29,29,2019-06-01,CO,0.585
30,30,2019-07-01,CO,0.629
31,31,2019-08-01,CO,0.708
32,32,2019-09-01,CO,0.888
33,33,2019-10-01,CO,0.629
34,34,2019-11-01,CO,0.633
35,35,2019-12-01,CO,0.565
36,36,2020-01-01,CO,0.553
37,37,2020-02-01,CO,0.544
38,38,2020-03-01,CO,0.542
39,39,2020-04-01,CO,0.473
40,40,2020-05-01,CO,0.496
41,41,2020-06-01,CO,0.529
42,42,2020-07-01,CO,0.545
43,43,2020-08-01,CO,0.585
44,44,2020-09-01,CO,0.555
45,45,2020-10-01,CO,0.548
46,46,2020-11-01,CO,0.549
47,47,2020-12-01,CO,0.62
48,48,2021-01-01,CO,0.549
49,49,2021-02-01,CO,0.533
50,50,2021-03-01,CO,0.538
51,51,2021-04-01,CO,0.563
52,52,2021-05-01,CO,0.526
53,53,2021-06-01,CO,0.488
54,54,2021-07-01,CO,0.518
55,55,2021-08-01,CO,0.494
56,56,2021-09-01,CO,0.531
57,57,2021-10-01,CO,0.564
